B: 	ah daar zijn er maar één van toch 
B: 	ja dan zijn het J 
A: 	deze hebben eigenlijk een soort van ja hoedje dus een hoe heten zoiets ? een driehoek 
A: 	eigenlijk helemaal bovenaan 
A: 	ja en twee van die rond althans één rond zien je goed helemaal onderaan 
B: 	hum dit zijn die piramide op dat hoofd 
A: 	ah ja 
A: 	die driehoek 
A: 	toch ? ja oké nummer zes 
B: 	ok dat zijn E 
B: 	dit zijn met de piramide bovenop 
A: 	dit zijn met dat hoedje die driehoek 
B: 	ja dat zijn G 
B: 	dit zijn de piramide er bovenop 
A: 	ja oké dat zijn nummer tien 
A: 	dit zijn met dat hoedje die driehoek 
A: 	dat zijn nummer tien 
