A: 	het lijken net alsof er iets van een een heel groot 
A: 	ja het zijn niet echt een punaise maar echt zo'n een één naald of iets of zo of een splinter erin komen 
A: 	of een naald of zo dat lopen zo 
A: 	ja precies of een Eiffeltoren op de kop dat die erin gaan zeggen maar echt ja 
B: 	ja 
B: 	even kijken 
B: 	hier ja ja ja kloppen en aan de ander kant veel zo'n helikopterplatform 
B: 	ja 
B: 	L 
A: 	ja waar zijn die ook alweer eens ? waar sta je ook alweer eens 
A: 	even kijken zijn dat met die een plaat zo schuin en dan twee Eiffeltorens erin en boven nog zo'n een beetje zo'n paddenstoel of zijn dat die ander 
A: 	met die Eiffeltoren erin boven één zo'n ding en dan dezelfde ernaast 
A: 	die zijn het dat zijn dat noemen je Eiffeltoren ja klpen ik weten het weer 
A: 	in die groot blok ja 
A: 	zeven 
B: 	oké nu hebben ik weer die met die Pacman en met die driehoek erop 
A: 	dit zijn die ja naald in de arm lijken het wel een beetje of die nee geen piramide wat zeggen je ook weer eens ? eiffeltoren zeggen je volgens mij in die in de arm 
B: 	even kijken waar staan die ook alweer 
B: 	ja hier 
B: 	C 
A: 	ja 
A: 	ja 
A: 	één 
B: 	die Pacman en die dat helikopterplatform 
A: 	dit zijn de Eiffeltoren in de arm 
B: 	A 
B: 	die Pacman en de helikopterplatform 
A: 	de naald in de arm ja 
A: 	dertien 
