B: 	ja die 
B: 	spijker of zo ja dat zijn dan J 
A: 	deze vinden ik een heel apart vorm 
A: 	deze hebben een soort van piramide bovenop 
A: 	en dan zitten er ja rechts zitten een soort van afgekapte piramide 
A: 	en linksonder zitten een soort van rond 
A: 	en aan de linkerkant zitten een ja pipetachtig iets 
B: 	ja dit zijn weer diegene met die spijker in de zijkant en die die die die 
B: 	piramide of die kegel of weten ik veel wat bovenop met die punt en dan dat raar blok aan de zijkant en dat 
B: 	ja en dat cirkel nog dat schijf aan de onderkant ja dat zijn hem 
A: 	die met de soort van pipet aan de 
A: 	ja dat zijn zes 
B: 	en die spijker die erin gaan 
B: 	ja dat zijn E 
A: 	dit zijn die die piramide weer bovenop in die verschillend tint en dan dat pipet weer aan de zijkant 
B: 	ja dit zijn weer die die kegel die piramide weten ik veel wat spijker aan de zijkant raar groot blok aan de zijkant en een soort 
B: 	koek of zo dat dat er nog bij liggen 
A: 	ja dat zijn tien 
B: 	ja dat zijn G 
B: 	ja hier hebben je weer die spijker aan die zijkant die piramide bovenop dat soort rond schijf onderin en dan nog dat blok dat erbij zitten 
A: 	dit zijn weer die met die piramide bovenop en die pipet aan de zijkant 
A: 	even zoeken zoeken zoeken 
A: 	ja dat zijn tien 
