B: 	ja 
A: 	ja dit zijn zeggen maar achter dat kop hebben je een soort staaf een een een rond staaf met twee van die 
B: 	ja 
B: 	ja 
A: 	knop aan de buitenkant 
B: 	dat zijn bij mij nummer K 
A: 	en ja een soort zeggen maar een vierkantje die er schuin uit komen met nog een staafje eruit oké die zijn niet 
A: 	zeggen maar je ja 
A: 	nee het zijn de enig die echt zeggen maar zo'n balk achter het kop hebben en dan steken die links een klein stuk uit en rechts een groot stuk 
A: 	ja die een soort van van die knop die erop zitten 
A: 	ja 
A: 	ja daarachter ja 
A: 	even zoeken 
A: 	die staaf met die knop erop en dat vierkan en dat dat ding dat aan het vierkan zitten 
B: 	ik hebben in principe weer het basismodel waarbij dan 
A: 	dat zijn nummer negen 
B: 	schuin een vierkant achter staan waar dat op een soort voe steunen met een kort uitsteeksel aan de linkerkant die rond afronden zijn en dan een lang 
A: 	dit zijn dat beker met die staaf weer met die knop eraan 
A: 	en het vierkan met de zonnecelding zeggen maar 
A: 	je hebben het kop en de enig met zo'n lang staaf erachter die doorlopen 
A: 	aan de linkerkant wat kort aan de rechterkant wat lang 
A: 	en dan hebben je die knop 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	dat met die met die staaf daarachter 
A: 	die met link kort en rechts lang 
A: 	ja dat zijn nummer drie 
B: 	ik hebben degeen met het vierkant vlak schuin erachter 
B: 	met een ondersteunend ja vorm erachter en dan hebben je aan de linkerkant dat Ronder aflopen 
B: 	puntig geval en aan de rechterkant dat lang puntig geval om armpje 
A: 	ja het kop met de staaf rechterkant lang de kop en het vierkan met 
B: 	ja 
B: 	ja dat zijn bij mij L 
A: 	ja nummer vijf 
B: 	ik hebben degeen met het vierkant vlak wat ondersteunen worden door een voe met de zijn 
B: 	lang en dan de linker iets kort allebei rond afgevormd 
