B: 	met ook zo'n soort van uitlaa aan de onderkant of 
B: 	ja dan hebben ik hem dat zijn I 
B: 	ik moeten altijd even kijken of het een I of een L zijn 
B: 	maar het zijn een I 
A: 	ja dit zijn de de vogel of de Eend 
A: 	zo zo vinden ik hem nee ? hebben je dat nooit ? oké 
A: 	hij hebben aan de rechterkant hebben die zeggen maar twee twee balk onder elkaar 
A: 	en dan hebben die een hanenkam 
A: 	sorry 
A: 	ja 
A: 	ja en dan hebben die een hanenkam en dan hebben die dus zeggen maar aan de linkerkant hebben die een een soort staart zeggen maar een floeps 
A: 	en hij hebben dan twee een soort van vleugel 
A: 	oké 
B: 	het zijn een beetje een het wat jij een stekkerding stopcontact of iets vinden 
B: 	nou dat zijn hem 
B: 	ik weten welk je bedoelen even loeren ja M 
A: 	ah leuk 
A: 	even zoeken ah ja 
A: 	dat zijn nummer twee 
B: 	stekker 
A: 	de vogel hebben ik 
B: 	oké 
B: 	ja vinden F 
B: 	het zijn een stekker 
A: 	ja 
A: 	nummer negen 
A: 	dus ik hebben de vogel 
A: 	Ah nummer zes 
