B: 	en liggen liggen liggen er nog een soort los blok 
B: 	ja onderop dan een soort los blok en dan aan de rechterkant twee twee twee 
B: 	plat plat dinget en dan bovenop een kegel die die afgezagen zijn of zo lijken het wel ok dan zijn het I 
A: 	ik hebben er nu eigenlijk één met twee soort uithangbordjes aan de rechterkant 
A: 	en zo'n soort ja het zijn eigenlijk gewoon twee bord boven elkaar lijken het wel 
A: 	en erop staan ook nog zo'n soort hoe noemen je dat ? zo'n soort 
A: 	ja zo'n vierhoek zo'n ja het lijken een soort lampenkop ik weten niet hoe je dat zeggen 
A: 	maar het zijn echt twee bord aan de rechterkant die er hangen en nog zo'n 
A: 	staafje een beetje linksonder en één in het midden links 
A: 	en aan de linkerkant zo'n nog zo'n zo'n dinge en daarbovenop zo'n soort lampenkop of ik weten niet hoe je dat uitleggen 
A: 	ja 
B: 	ja dit zijn ook dat ding met een soort kegel bovenop maar die zijn dan op een geven moment afgezagen dat het plat zijn 
B: 	aan de zijkant hebben je nog die twee balk en dan hebben je onderin nog een dinge en nog een soort ding dat uitsteken 
B: 	ik 
B: 	ik weten welk je bedoelen maar ik zijn hem even aan het zoeken ja die twee dinget nog aan de zijkant en dan een dinge onderop 
B: 	ja dat zijn M 
B: 	van mark 
A: 	ja 
A: 	ja die 
A: 	en in het midden nog zo'n dinge aan de link 
A: 	ja 
A: 	bij mij nummer twee 
A: 	ik hebben nu met die uithangbord noemen ik net met zo'n lampenkop erop 
A: 	bij mij staan die link onderin ongeveer ik weten niet of die bij jou ook daar ook staan 
A: 	zo'n staafje eronder 
A: 	ja die twee bord aan de rechterkant 
A: 	ja die staart aan de ander kant aan de linkerkant inderdaad eronder 
B: 	dit zijn weer ja die piramide die afgezagen zijn of zo en dan die twee plaat die er uitsteken en nog zo'n dinge onderop en dan nog iets aan de zijkant 
B: 	ja 
B: 	dat zijn F 
B: 	ja dit zijn weer die afgezaagd 
B: 	piramide of kegel of weten ik veel wat de naam ervoor zijn en dan weer die twee plaat die hetzelfde zijn onder elkaar ja 
A: 	ja 
A: 	ja 
A: 	nummer negen zijn dat bij mij 
A: 	ik hebben nu die een met die of ja noemen ik net zo met die lampenkap erboven staan bij mij ongeveer midden 
A: 	ja 
A: 	nummer zes zijn dat bij mij 
