A: 	oké dit vinden ik wel met de dansen beent ik noemen het een Pinokkiokopje met dansen been 
A: 	dus het zijn echt een kop met een lang neus als het zijn en achter op het hoofd zitten ook nog één of ander gek figuur 
A: 	maar het hebben zeggen maar één been aan de onderkant en één aan de zijkant en die vinden ik het lijken of ze aan het dansen zijn 
A: 	nee 
A: 	echt een lang hexagonfiguur aan de als neus zeggen maar of aan de voorkant 
A: 	en dan één zeggen maar been aan de onderkant 
A: 	en één zo'n zelfde been aan de rechterkant 
A: 	volgens mij zijn er zijn er daar maar één van 
A: 	en dan bovenop zijn zijn het zegn maar twee dun 
A: 	vierkant naast naast elkaar met aan de beide kant zo'n uitsteeksel 
B: 	even kijken 
B: 	zijn dat met zitten er ook zo'n vierkant plaat aan de zijkant of niet 
B: 	die vinden ik een beetje op een satelliet lijken 
B: 	die 
B: 	ja ja 
B: 	zitten bovenin een ruit met aan allebei de kant een dinge ? ja 
B: 	en en bovenin zeggen maar veel in zo'n zo'n Jvorm zo'n sik of niet 
B: 	ja 
B: 	ja ja ja 
B: 	ja 
B: 	oké 
B: 	M 
A: 	die dansen pinokkio 
A: 	oké dat zijn nummer negen 
B: 	nu hebben ik weer die die met die blauw of met die met die sik onderaan 
B: 	ja 
B: 	ja 
A: 	dit zijn dansen pinokkio maar zijn been zijn een beetje afgehken 
A: 	maar die 
A: 	oké dat zijn elf 
B: 	ja 
B: 	H 
A: 	dit zijn dansen pinokkio 
A: 	dat zijn veertien 
B: 	die met die satelliet boven en die sik daaronder 
B: 	ja 
B: 	D 
B: 	het zijn die satelliet en die sik 
