A: 	ja en en links en rechts zitten ook iets kleins 
A: 	kloppen dat 
A: 	nou ik twijfelen nou of dat hem zijn 
A: 	zitten er links en rechts dus allebei een soort van dinge en er liggen inderdaad een blok op de dinge 
A: 	ja 
A: 	ik 
A: 	okee dan zijn het zestien 
A: 	ja ik vinden er nog één ook op een ik zullen deze veel op een raket zeggen 
B: 	deze die zijn op zich wel lastig uit te afleggen denken ik 
B: 	maar een koffiekopje met een soort van afzuigkapneus aan de linkerkant 
B: 	bovenop zitten er een rechthoek 
B: 	ja het zijn geen vierkant object een rechthoek Bovenin 
B: 	en aan de rechterkant van het kop nou heel even goed kijken hoor want dat zijn ja een soort 
B: 	wat zullen het zijn 
B: 	nee het zijn niet niet diegene met het dienblad 
B: 	want ik weten wel welk je dan bedoelen 
B: 	ja het zijn een ander 
B: 	even denken 
B: 	hoe gaan ik dit goed uitleggen 
B: 	ja het zijn een hij komen veel in de buurt van een neus zoals wij die normaal zullen hebben zeggen maar 
B: 	het zijn veel een mensenneus dan de neus die we tot zover hebben hebben 
B: 	dus het zijn een beetje een soort van ja 
B: 	ja het zijn het zijn heel deze vinden ik best wel pittig 
B: 	ja precies 
B: 	ja 
B: 	een staafje met een soort van afvoerdinge 
B: 	ja precies ja ja dat ja 
A: 	deze hebben een balk op het beker liggen 
A: 	ja dit zijn jou space shuttle 
A: 	ja ja 
A: 	waar zijn die zes nummer zes 
A: 	dit zijn je space shuttle 
B: 	ja ja 
B: 	staan daar een rechthoekig ding bovenop 
B: 	een kap 
B: 	ja dan gaan ik voor h 
A: 	even kijken waar zijn die 
A: 	achten 
B: 	o jee hier hebben we hem weer horen de stoffer en blik 
B: 	het stoffer en blik kopje met een rechthoekig object bovenin 
B: 	en een afkapdinge aan de linkerkant 
B: 	dat zijn even zoeken hè ? ja 
B: 	maar ik merken wel dat je op een geven moment dan hebben je die cue een beetje te pakken zo van ja dit hebben we zo communiceeren 
B: 	ja leuk 
A: 	je space shuttle 
B: 	ja even kijken waar zijn je waar zijn je 
B: 	ik merken dat mijn aandacht zeggen maar nu echt naar het zoeken gaan 
B: 	het zijn dit zijn c 
B: 	dit zijn de stoffer en blik met een rechthoekig figuur bovenop weer 
B: 	neusje 
B: 	where did it go ja 
B: 	dat zijn c 
