B: 	oké even zien ja het lijken op een theekop met één 
B: 	laten maar zeggen een rod 
B: 	een één één één een een rond staaf 
B: 	die aan de linkerkant erin steken 
B: 	een rond aan de achterkant erop plakken en een 
B: 	een soort ja lepeltje alleen dan niet een lepelvorm maar de uiteinde van een lepel aan de rechterkant die erin steken 
A: 	ok zijn het eigenlijk zo ja een beetje veel zoals een korfbal als je gaan kijken 
A: 	zo zo'n koker zeggen maar met een staaf er aan 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	die zijn niet rond 
B: 	nee precies 
B: 	en dan hebben hij onder ook nog een soort steunsel waar die op leunlen 
A: 	als één houder ja zo zo zo'n beetje krom krom houder of nee 
B: 	ja 
A: 	ja en dan hebben hij zo zo'n raar iets op de bovenkant nog aan de 
A: 	ja en nog iets ja 
A: 	ja dan weten ik welk het zijn dan nummertje dertien 
B: 	ja met een lepeltje en dan aan de linkerkant dat dingetje en onderin de badkuip 
B: 	O 
A: 	ja dit zijn eigenlijk ook weer wat jij net in het begin volgens mij als één hebben omschrijven dat dat hij een houder hebben maar niet aan de zijkant maar alleen dat smal gedeelte 
A: 	dan gaan hij beetje omhoog en dan krijgen je een eigenlijk een cilinder wat dwars door het midden komen en met een half cirkel en een pluim bovenop 
A: 	dat hij staan op een plateaut zeggen maar maar die die staan dan niet heel breed dat wat jij volgens mij als als één hebben omschrijven 
A: 	en met die cilinder eigenlijk 
A: 	nee dat zijn echt met een met één met een pluimp bovenop en dan een half cirkel zijn aan de achterkant ook er op half cirkel ja 
A: 	ja die houder ja ja die er uit komen cilinder 
A: 	nou veranderen het weer 
A: 	die 
A: 	ja ja en dan met met die diamantor 
A: 	ja dat zijn dan nummertje twee 
B: 	ja nou deze zijn ik weten niet veel hoe we hem hebben noemen maar met dat rond achterop plakken 
B: 	ja ik noemen het theekop 
B: 	ja 
B: 	theekopje 
B: 	prima 
B: 	ja ja ja met dat rond achterop plakken 
B: 	C 
A: 	ja dit zijn dan weer die op een houder staan maar niet zo'n breed houder maar zo'n smal 
A: 	en hebben met het toe 
A: 	half cirkel en dan zo'n zo'n pluim bovenop achtig gebeuren ja 
B: 	dit zijn het gewoon het theekop 
B: 	het normaal theekop met dat rond achterop plakken 
B: 	alleen de indiaan hebben een neus en het theekop niet 
B: 	ja 
B: 	ja oké dat kunnen ook 
B: 	ja 
B: 	ja ik ik zullen zo zeggen ik drink zo laat maar zeggen 
B: 	als één als een mongool 
A: 	zijkant ja ja 
A: 	dat zijn dan nummertje zeven 
B: 	ja met het rond achterop 
B: 	C 
B: 	dat zijn het 
B: 	volgens mij niet maar 
B: 	we shall see 
B: 	Hallo 
A: 	dit zijn dan die op zo'n zo'n plateau staan hij alleen verticaal of horizontaal gaan nee verticaal dus dus eigenlijk smal 
A: 	smal ding ja en met 
A: 	met dat half cirkel bovenop en dan met zo'n pluim en dan 
A: 	zo'n staaf ja 
A: 	o kijken 
A: 	ah gaan toch snel op het einde 
A: 	ja 
