A: 	deze hebben een plat rond aan de rechterkant die horizontaal staan 
A: 	en er zitten link een soort van hartjesvormuitsteeksel met een met een pin erin 
A: 	ook nog 
A: 	aan de rechterkant zitten een horizontaal plat rond 
A: 	en link zitten zeggen maar een vormp met een met een punt erin 
A: 	sterrenkijker ja die ja die ja 
A: 	die ja 
A: 	die dat horizontaal cirkelding dat hart ja 
A: 	ja dat zijn nummer drie 
B: 	ja 
B: 	soort van snelwegrail 
B: 	of een kabel 
B: 	misschien wat vergezocht hoor maar 
B: 	ja nee dan denken ik dat ik hem ook wel weten 
B: 	ik gaan voor m 
A: 	dit zijn die met die plat horizontaal cirkel en dat hart met die pin erin dat uitstekend hartjevormding 
B: 	dit zijn dat kop met het dienblad aan de rechterkant 
B: 	en een soort van vangrail aan de linkerkant 
B: 	en zo'n gek spijker daarin zeggen maar 
A: 	ja 
A: 	yes 
A: 	ja 
A: 	dit zijn die met die hartjesvorm en die sterrenkijker eruit 
B: 	ja even kijken dan gaan ik voor m 
A: 	ja dat zijn negen 
B: 	dit zijn de ober met zijn dienblad 
B: 	ja heel goed 
B: 	dienblad spijker door de vangrail ja helemaal goed dat zijn voor mij l 
B: 	de ober met het tafel aan één kant en spijker door vangrail 
