B: 	ah oké 
B: 	dus het zijn een kop met de staaf erdoorheen door het midden 
B: 	en een rond op de bovenkant en een staaf aan de voorkant 
B: 	dan zijn het B 
A: 	okee next 
A: 	ja nou een koffiekopje 
A: 	met een bal bovenop 
A: 	aan de voorkant weer een ja een houten 
A: 	houten lat weer 
A: 	ja die zijn verticaal 
A: 	en dan horizontaal een soort van leidingen 
A: 	link steken die ver uit dan rechts 
A: 	okee 
B: 	het zijn veranderen 
B: 	oké 
B: 	nou dan hebben we nog vijf te gaan 
B: 	een kop met een ei erbovenop en een pilaar aan gezichtszijde 
B: 	en met een buis door het midden heen 
A: 	ja en die plank die lopen weer verticaal 
A: 	ja 
A: 	ik gaan voor nummer zes 
B: 	ja 
B: 	dat zijn L 
B: 	een kop met een ei op de bovenkant en twee pinn doorboren hem in het midden 
A: 	dat zijn stom want je hebben ze al in je hoofd en dan moeten je ze nog zoeken 
A: 	ah ja ik zijn aan de beurt trouwens 
A: 	een kop met een houten plank weer 
A: 	waarom hout 
A: 	gewoon een plank 
A: 	aan de voorkant 
A: 	eit bovenop en ja de uitsteeksel links rechts 
A: 	ja 
B: 	ja dat zijn L 
A: 	ja 
A: 	nummer vijfteen 
B: 	de bak met het ei er bovenop en doorboren door een pilaar paal 
B: 	die leunt op een pilaar aan de voorkant 
A: 	deze hebben een ei bovenop liggen 
A: 	een houten plank aan de voorkant 
A: 	verticaal 
A: 	en horizontaal weer wat leiding erdoorheen 
A: 	ja nummer tien 
