A: 	ik 
A: 	ik ik ik denken aan een wijnglas volgens mij 
A: 	ja 
A: 	vier 
B: 	ja het plaat zijn die op een man lijken met 
B: 	soort van kronkelstaaf aan de onderkant die eindigen op een piramide niet piramide maar een driehoekig 3Ddingetje 
B: 	en aan de bovenkant een kubus en daar rechts van ook weer een kubus en daar helemaal links ja het zijn niet echt een kubus maar 
B: 	ja zoiets 
B: 	ja 
A: 	dit zijn weer het wijnglas 
B: 	ja die 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	het wijnglas yes 
A: 	dat zijn tien 
A: 	dit zijn het wijnglas 
A: 	of de cocktail 
A: 	het wijnglas 
A: 	Hupakkee 
A: 	vier 
A: 	wijnglas 
B: 	dit zijn die op een man lijken met die kronkelbuis naar een driehoek 
B: 	en twee kubus bovenop en een ander dinge 
B: 	ja 
B: 	ja dat zijn L 
B: 	dit zijn dat man met die spiraal aan de onderkant 
B: 	en driehoek 
B: 	en kubus 
B: 	oké dat zijn F 
