B: 	ja 
B: 	ja en nog één flap aan de achterkant 
B: 	ja ja 
B: 	oké dan F 
A: 	ok nou zijn eigenlijk ook zo'n soort ovaal iets en dan met een 
A: 	bolle aan de voorkant met er met er doorheen geboord een ja kunnen kunnen je zeggen neuspiercing achtig gebeuren 
A: 	met toe op ja ja 
A: 	ja ja ja nummertje ja nummer vijf 
B: 	de neuspiercing 
B: 	met met het rond aan de ander kant 
B: 	ja A 
A: 	ja dit zijn dan met die neuspiercing 
B: 	moeten even wat links en rechts zijn de neuspiercing 
A: 	ja vinden 
A: 	dat toe er op 
A: 	o nummer nummer vijf ja ja ja horizontaal rij ja 
B: 	ja searching H 
A: 	ja dit zijn die neuspiercing met dat met dat staart of ja 
B: 	de neuspiercing 
A: 	ja vinden nummer vijftien 
