A: 	wachten welk zijkant 
A: 	ja 
A: 	zijn dat zo'n schuin ? die bedoelen je of een ander 
A: 	wachten even 
A: 	ja ja dan weten ik welk je bedoelen 
A: 	ja dat zijn nummer zes 
B: 	ok het zijn er één en aan de bovenkant zitten twee heel klein blok en voor de rest zitten er staan er eigenlijk niks op 
B: 	kunnen er eigenlijk maar één zijn die blok zijn even groot 
B: 	ja hij hebben zeggen maar soort van vierkant aan 
B: 	dat ja 
A: 	bij mij zijn het diegene met die slurf 
A: 	en de hoe noemen je dat ook alweer ? het schoorsteen volgens mij 
A: 	die er zo uit steken 
A: 	of aan de ander kant voor jou 
A: 	met die twee dinget bovenop 
A: 	ja 
A: 	ja dat zijn wel een goed omschrijving 
A: 	even kijken wachten even 
A: 	ja die dat vlak zo erin 
A: 	ja nummer dertien 
B: 	zegmaar die twin towers erop bij wijze van spreken met zo'n die iet die zegmaar een vierkant ding aanhebben C 
A: 	dit zijn degeen met de slurf en zo'n plateau erdoorheen 
B: 	hij hebben zegmaar weer twee blok bovenop en hij hebben zo'n vierkan aan bij wijze van spreken 
B: 	even kijken J 
A: 	ja 
A: 	negen 
B: 	met die tutu en die twin Towers 
A: 	dit zijn degeen met de slurf en de uitsteeksel met die balk en met die plaat erdoorheen 
B: 	die tutu 
B: 	N 
