A: 	even kijken horen 
A: 	ja helemaal bovenin en dan zo'n omdraaien 
A: 	ja precies 
A: 	nummer zestien 
B: 	ja dit moeten mij een beetje denken aan zeggen maar een plank wat dan ophangen zijn waar 
B: 	zeggen maar gat in zitten waar een pan in kunnen en dat zijn dan dat rond ding en dat er nog een bak op staan 
B: 	wo 
B: 	o 
B: 	o wat een fijn gelukkig 
B: 	ok bij mij O 
B: 	dan moeten jij klikken 
A: 	oké 
A: 	deze hebben weer inderdaad dat plateautje een beetje bovenop met dat omgekeerd driehoekje daarbovenop 
A: 	met die poo 
B: 	o die ja dat zijn P bij mij 
B: 	ok 
A: 	ja 
A: 	ja 
A: 	ja even kijken waar staan die ? daar 
A: 	nummer veertien 
A: 	zullen eigenlijk ook de nummert en de cijfertje want die zullen in theorie misschien ook wel hetzelfde moeten zijn of niet 
A: 	nee want ik hebben het idee dat die bij mij wel hetzelfde blijven zeggen maar 
A: 	de cijfertje 
A: 	dus misschien dat die dat die wel corresponderen met jou letter zeggen maar dat als je het op de duur weten 
A: 	maar ja die dan moeten je er zestien uit je hoofd weten 
A: 	ik ook niet maar dat bedenken ik me nu net 
A: 	never mind 
A: 	in ieder geval dit zijn weer het plateautje met de de poo en de omgedraai piramide 
B: 	o dit zijn weer dat plank met die pan er in 
B: 	ja 
B: 	ok bij mij P 
B: 	echt telkens automatisch 
A: 	ja 
A: 	ja 
A: 	nummer tien 
B: 	die N 
A: 	oké deze zijn weer met dat plateaut met de omgekeerd piramide erop met de poo 
B: 	dan moeten ik klikken ja 
B: 	dit zijn het plank met de pan 
B: 	ah 
B: 	ok bij mij I 
B: 	ok 
B: 	o daar D 
