A: 	ja die moeten je nog een keer zeggen 
A: 	ja 
B: 	het voelen alsof het een soort heel stevig postuur zijn met een heel klein balk bovenop 
A: 	okee 
A: 	negen 
B: 	op de op het kop als het zijn 
B: 	en aan de rechterkant zitten een heel klein streep met een vierkan eruit 
B: 	aan de rechterkant zitten zo'n zitten nog een attachment 
A: 	deze hebben een horizontaal balk rechtop bovenop de emmer 
A: 	link zijn er een ook een soort trechter 
A: 	die op de kop staan 
A: 	rechts van de emmer zijn een heel klein cilinder die rechtop staan op ook één of ander uitsteeksel 
B: 	heel klein balk vierkan 
B: 	ja 
B: 	ja balkje en het het kunnen eigenlijk een soort van robot die stop zeggen 
B: 	ja oké 
B: 	D 
A: 	ja twee 
A: 	deze hebben die omgekeerd trechter aan de linkerkant en een balk bovenop de emmer 
B: 	heel klein balk bovenop 
B: 	met het donker figuur 
B: 	aan de linkerkant 
B: 	het zitten soort van vierkant die erin vallen alleen heel klein balk steken uit het kop 
B: 	aan de bovenkant 
B: 	aan de linkerkant uh , of aan de rechterkant van het figuur zitten een heel klein dun figuur met een vierkan erop 
B: 	aan de rechterkant 
B: 	ja zo'n attachment 
B: 	ja 
A: 	ja drie 
A: 	die hebben die omgekeerd trechter aan de linkerkant 
B: 	ja ik zijn hem aan het zoeken , waar zijn je 
B: 	waar zijn dan dan , ah daar 
B: 	en dat dat rechts dat attachment dinge 
B: 	ja ja 
B: 	kunnen 
B: 	E 
B: 	vierkant balkje die erin gaan 
B: 	balk op op top 
B: 	dun armpje aan de rechterkant 
B: 	met een vierkant 
B: 	ja met dat dinge ja 
B: 	ja 
B: 	I 
