A: 	dit zijn weer de bak , ja alles zijn een bak bovenop zitten een een soort zoiets-vormig 
A: 	ja 
A: 	en die zitten ook aan de linkerkant 
A: 	aan aan de rechterkant zitten een soort van toren als je van andersom kijken kwartslag 
A: 	en die zijn in de rechterkant en bovenop zitten dan twee van zo'n zo'n balkje 
A: 	link 
A: 	ja 
A: 	en aan de rechterkant zitten een toren die liggen eigenlijk 
A: 	ja 
B: 	ja 
B: 	ja ik 
B: 	dezelfde ovaal 
B: 	ja 
B: 	vierkant 
B: 	ja 
B: 	ja 
B: 	die kennen ik dat zijn de L 
B: 	ja duidelijk 
A: 	dat gaan heel makkelijk als we het zo gaan doen 
A: 	ja 
A: 	dat zijn nummer zeven 
B: 	deze hebben net zo'n ovaal dinge als de vorig bovenop en ook linksonder een beetje 
B: 	en een vierkant rechts die steeds groot worden 
B: 	en nog een klein ja haak linksachter 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	ja 
A: 	zijn een heel druk , bovenop bovenop en links zijn een uh , zoiets , achtig 
A: 	en link zitten nog een een pijp en rechterkant nog een toren als je negentig graad draaien 
B: 	bovenop 
B: 	ja en een kubus rechts 
B: 	K 
A: 	propellerkop 
A: 	ja ja ja 
A: 	oké dat zijn 
A: 	rechts een één 
A: 	en link zitten er twee 
A: 	ja ja ja 
A: 	nummer twaalf 
B: 	deze hebben een ovaal er bovenop en een ovaal links en een kubus rechts die steeds groot worden 
B: 	en nog een haak 
B: 	ja ja 
A: 	ja dat zijn , jij noemen het de propeller 
A: 	link zitten er twee , bovenop één , rechts de pilaar 
A: 	ja 
A: 	nummer twee 
B: 	ja kubus rechts , groot 
B: 	L 
B: 	deze hebben ovaal aan de bovenkant en links , en rechts een kubus die steeds groot 
