B: 	ah ja ik weten welk je bedoelen 
B: 	M 
A: 	oké deze vinden ik heel vaag hij hebben een ruit bovenop en aan beide kant van die ruit steken er iets uit 
A: 	ja en hij hebben nog drie ding ver één beetje onder en twee rechts 
A: 	ja nog zo ongeveer 
B: 	ik vinden dit een beetje een kraan met een wasbak 
B: 	er zitten een soort van afvoer onder en aan de zijkant het zijn twee dezelfde ding er zitten een soort van potlood die er vooruit uit steken 
B: 	ja 
B: 	ja dat vinden ik wasbak met een kraan ja 
B: 	H 
A: 	ja 
A: 	wachten nog één keer 
A: 	dat zijn toch een ander die ik hebben denken 
A: 	een beetje zo zo'n ruit 
A: 	en dan bovenop 
A: 	ja ja ja en dan nog drie ding 
A: 	dat zijn nummer negen 
B: 	ja dit zijn weer die waar ik zeggen een wasbak met een kraan 
B: 	met een potlood aan de voorkant 
B: 	ja 
A: 	hebben ik ook 
A: 	nou nu hebben ik weer die ruit erbovenop met twee ding aan de zijkant 
A: 	en dan drie armp 
A: 	been 
B: 	ja D 
B: 	ik moeten hem even zoeken 
B: 	ja de de soort van wasbak met het vierkant dat eruit steken aan de bovenkant 
A: 	ja die ruit ja 
A: 	ja nummer elf ik willen zeggen 
A: 	ik hebben die met die ruit erbovenop met die twee blok ernaast 
A: 	dinge eraan 
A: 	nummer veertien 
