A: 	ja deze hebben een een vierkant kop en dan komen er een spijker uit eigenlijk 
A: 	en die prikken dan ergens in wat een soort van hart zijn wat heel lang uitgerken zijn 
A: 	een schijf ja 
B: 	zo'n soort Eiffeltoren op zijn kop 
B: 	ja 
B: 	oké dat zijn L 
A: 	ja zeven 
B: 	ja dit zijn ja weer het kop met dat een plat plaa en die omgekeerd Eiffeltoren 
B: 	ja het zijn zeggen maar één zo dat zijn eigenlijk die naald zeggen maar die er 
B: 	ja 
B: 	ja 
B: 	ja ja 
A: 	deze hebben weer die spijker met dat hartje en een schijf 
B: 	ja ja 
B: 	ja ja ja 
B: 	ja 
B: 	C 
A: 	ja één 
B: 	dat zijn die naald in die arm 
A: 	die met dat spijker en het hartje en het schijf 
B: 	A 
A: 	dertien 
B: 	de naald 
B: 	in de arm 
