B: 	oké 
B: 	het zijn het bakje en hij hebben weer zo'n neusje aan de voorkant niet op de op zijn hoofd maar 
B: 	ja 
B: 	een bolle aan de voorkant 
B: 	en het zullen ook kunnen lijken op zeggen maar een een bak waar twee tandenborstel in staan 
B: 	en de een zijn een zijn een beetje artistiek vormen en de ander zijn gewoon een gewoon een balkje 
B: 	en aan de linkerkant zitten een driehoekig staafje 
A: 	die 
A: 	met dat driehoekje aan de zijkant dat 
A: 	ja 
A: 	soort soort neus ja 
A: 	dat zijn veertien voor mij 
B: 	ja 
B: 	letter N 
A: 	hier zitten een ja zo'n roerstaafje in voor je verf en dan een een schroevendraaier voor kwastbovenkant 
A: 	driehoekje ja 
B: 	tandenborstels in het glaas met het neusje aan de voorkant en het armp 
A: 	yes dat zijn negen voor mij 
B: 	ja 
B: 	letter G 
A: 	dit zijn die met de verfroerstaaf 
A: 	yes dat zijn vijf voor mij 
B: 	tandenborstels in het glaas met het neusje en het armp 
A: 	dit zijn die met de verfroerstaaf 
B: 	even zoeken hoor 
B: 	ja 
B: 	letter J 
