B: 	die soort van kegel van bowling 
B: 	ja 
B: 	ja 
B: 	ja dat zijn E 
A: 	oké bij mij dit vinden ik zelf een beetje een apart 
A: 	ik zullen zeggen dat het een soort van hij hebben een soort van vierkant neus aan de rechts kant zitten rechtsvoor 
A: 	ja nou het zijn niet per se een blok het zijn een blok wat eigenlijk groot worden zo 
A: 	en dan zitten er twee soort van ja staf handvaten of zo aan plus nog een soort van slinger aan de Linkerachterkant 
A: 	van van dat ding 
A: 	ik hebben hem ik zullen niet zeggen hoe ik hem omschrijven hebben in de in de ander test maar ik weten niet of dat nog nodig zijn maar er zitten dus twee een soort van octoneus van van Sponge Bob zeggen maar 
A: 	één aan de bovenkant één en dan 
A: 	en dan één linksvoor en één die een beetje naar achter toe gaan maar dat zijn veel een slurf zeggen maar die zijn niet helemaal zo en dan zitten er aan de rechtsvoorkant zitten er een soort van vierkant ding wat eruit komen 
A: 	ja 
A: 	welk zijn dat bij jou 
B: 	het zijn de kegel erbovenop een kegel naar die kant richten denken ik en dan hebben die hier zo'n verrekijkerachtig ding 
B: 	en dan nog een soort van bikinibroekachtig uitlaat aan de die kant 
A: 	met die neus ja ja die met die drie tentakel eigenlijk en dan die vierkant neus 
A: 	ja ja ja één zo en dan één aan de zijkant en naar achteren 
A: 	ja dat zijn nummer elf bij mij 
B: 	ja J 
B: 	het zijn die met een kegel op zijn hoofd en een kegel als neus en dan een verrekijker 
B: 	en dan nog een mormel 
A: 	oké dit zijn die een weer met die drie tentakel zeggen maar met dat vierkant ding wat eruit komen 
A: 	wat groot worden 
A: 	ja ja die slurf die octopus soort van even kijken 
A: 	nummer negen 
B: 	god 
B: 	ja B 
A: 	dit zijn die een met drie octopusding die eruit komen en die vierkant neus 
B: 	het zijn die met een kegel erop kegel als neus en een verrekijker 
B: 	en nog een dinge 
A: 	ja 
A: 	nummer vier 
