A: 	van die spiraalt 
A: 	ja ja ja 
A: 	ja oké 
A: 	ja ja ja 
A: 	ja ja ja ik snapen hem ja 
A: 	A vijf 
B: 	hij hebben aan de het hij staan eigenlijk ook gewoon op een op een vierkant op een blauw vierkant 
B: 	ja ja ja aan allebei de kant 
A: 	degeen met die drie raar dinge aan de zijkant van het hoofd aan beide kant 
A: 	met plaat op de voorkant 
A: 	met een armpje uit het water hoe jij dat noemen 
A: 	tien 
B: 	ja ja ja 
B: 	J 
A: 	ja 
A: 	elf 
A: 	d elf 
A: 	oorbel drie van die bollet aan de zijkant van het hoofd 
A: 	zestien 
A: 	ja ja ja 
A: 	zestien 
B: 	weer die op een vierkant plaat staan en aan allebei de kant zo'n diaman 
B: 	ja 
B: 	P 
A: 	dus we zijn erachter dat elk keer als het wat zijn zijn het hetzelfde 
A: 	ja 
A: 	K negen 
B: 	weer die op op dat vierkant staan en met die diaman 
A: 	jou oorbel 
A: 	drie van die ding aan elk kant 
A: 	yes 
A: 	elf 
B: 	ja 
B: 	L 
