A: 	die zitten net op het hoek 
A: 	die er eigenlijk bijna af vallen 
A: 	oké 
A: 	nummer twaalf 
B: 	deze zijn het lijken een beetje op een op een beeld 
B: 	zo'n zo'n kromming ook weten je wel 
B: 	bovenop staan staan een blok dat bijna vallen 
B: 	en 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	oké 
A: 	deze ook al hebben 
A: 	in het midden zitten er een klein blok bovenop en dan hebben je weer zo'n blok wat er eigenlijk bijna afvlen 
A: 	die zitten helemaal rechts bovenop het kop 
A: 	dus dan hebben je eigenlijk twee 
A: 	twee vierkant op het kop 
A: 	één zitten midden op het kop dat vierkan en de ander die ja die zitten helemaal aan de zijkant rechts 
A: 	ja 
B: 	okee ja ik hebben hem al 
B: 	ja 
B: 	dat zijn d 
A: 	ja nummer vijf 
A: 	hier dat twee blok eigenlijk bovenop het kop 
A: 	één in het midden en die ander die iets groot zijn die er beetje bijna af vallen 
B: 	deze zijn met dat vallen blok 
B: 	en dat ding dat dat ergens op op staan met een met een ja 
B: 	op dat standaard staan ja 
A: 	oké 
A: 	nummer negen 
A: 	weer de twee blok bovenop , waar er één bijna af vallen 
B: 	ja ja ja dat zijn k 
B: 	dit zijn dat ding op op een standaard 
B: 	en waaruit het blok er bijna af vallen 
B: 	ja wachten even 
B: 	ik zoeken 
B: 	ah ja ja 
B: 	l 
