A: 	ik hebben aan de bovenkant hebben ik een een groot uitsteeksel die aan de bovenkant steeds breder worden en rond zijn aan de bovenkant net als daarnet 
A: 	dan hebben ik aan de linkerkant één groot en een klein uitsteeksel 
A: 	en aan de rechterkant een soort uitsteeksel dat steeds groot vierkanten hebben 
A: 	dat rond worden 
A: 	en aan de linkerkant zitten er ook één 
A: 	vier 
B: 	ja 
B: 	ja ik 
B: 	dezelfde ovaal 
B: 	ja 
B: 	vierkant 
B: 	ja 
B: 	ja 
B: 	die kennen ik dat zijn de L 
B: 	ja duidelijk 
A: 	ik hebben dat een met dat steeds worden steeds breder worden ding aan de rechterkant 
A: 	het rond ding aan de bovenkant en zo'n zelfde rond ding aan de linkerkant 
A: 	ja en die hebben je aan de zijkant ook ja 
A: 	twaalf 
B: 	deze hebben net zo'n ovaal dinge als de vorig bovenop en ook linksonder een beetje 
B: 	en een vierkant rechts die steeds groot worden 
B: 	en nog een klein ja haak linksachter 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	ja 
A: 	ik hebben dat steeds breder worden ding aan de rechterkant 
A: 	dan dat gek rond ding bovenop 
A: 	dat gek rond ding aan de linkerkant 
A: 	en aan de ja 
A: 	tien 
B: 	bovenop 
B: 	ja en een kubus rechts 
B: 	K 
B: 	deze hebben een ovaal er bovenop en een ovaal links en een kubus rechts die steeds groot worden 
B: 	en nog een haak 
B: 	ja ja 
B: 	ja kubus rechts , groot 
B: 	L 
B: 	deze hebben ovaal aan de bovenkant en links , en rechts een kubus die steeds groot 
