B: 	ja I 
A: 	even kijken nou de kopvorm en aan de rechterkant hebben je twee ja rechthoekje 
A: 	beetje een ISteken wat erin steken zijn 
A: 	en aan de linksonder hebben hij een nou ja licht licht ja uitsteeksel bee een ja staart 
A: 	en daar daarboven net boven zeggen maar dat staart zitten een ja streep 
A: 	ja 
A: 	ja hij zijn ja het zijn een beetje zo'n driehoeksvorm inderdaad 
A: 	ja staan een 
A: 	ja ja zo zullen ik het noemen 
B: 	deze hebben die twee rechthoekjes boven elkaar aan de rechterkant van de emmer 
B: 	bovenop hebben het op zijn kop de omgedraaide trechter of heten dat een trapezoid 
B: 	en aan de aan de linkerkant hebben hij soort van 
B: 	ja 
B: 	ja 
B: 	ja c 
B: 	dit zijn die een met die twee blok nee twee rechthoekjes aan de rechterkant bovenop elkaar 
B: 	en die omgedraaide trechter bovenop 
A: 	ja ja en dan aan de linkeronderkant een klein vormp en daarboven ook een 
A: 	ja dat zijn twee 
B: 	o 
A: 	dit zijn die met de twee blok aan de rechterkant met aan de linksonder het ja klein uiteinde 
A: 	daarbovenop een beetje de die vulkaanvorm 
B: 	dit zijn die een met op zijn kop trechter bovenop en twee blok aan de rechterkant 
A: 	ja ik zien hem 
A: 	zestien 
A: 	dit zijn die met de twee balk aan de rechterkant zijkant en de vulkaanvorm bovenop 
A: 	twee 
