B: 	okee dit zijn het kop met links een arm 
A: 	ja 
B: 	en rechtsboven zijn een soort ovaal zo op deze manier 
A: 	wat Antenne half cirkel linksboven 
B: 	zo ja zo 
B: 	op deze vorm 
B: 	die zitten rechtsboven 
A: 	daar 
A: 	ja vijf 
B: 	maar zijn wel langwerpig wel hoor omhoog maar 
B: 	soort traantje maar dan uitgerken 
B: 	uitgerken uitgereken traan rechtsboven 
B: 	en links een arm 
B: 	ja linksachter een plat rond 
B: 	ja 
B: 	ja ja een een verhogink 
B: 	okee 
B: 	okee 
B: 	en dan mogen moeten ik of jij moeten jij duwen toch 
A: 	ja hij hebben een uitsteeksel links een breed vlak onder en die half cirkel daarachter en een voelspriet rechtsboven 
A: 	dus voelsprieten rechtsboven half cirkel daarachter en zeshoekig handvat link 
A: 	al twee 
A: 	zo 
A: 	ja zestien 
B: 	ja 
B: 	ja dat zijn o 
A: 	dit zijn de voelspriet rechtsboven en een half cirkel daarachter en een zeshoekig handvat link 
A: 	ja achten 
B: 	deze zijn ook met een lepeltje en dan een plat rond aan de achterkant 
B: 	en links een arm die rond zijn en hij staan op iets 
B: 	ja 
A: 	Antenne rechts half cirkel daarachter links handvat 
B: 	ja m 
B: 	dit zijn met het lepel rechts en een plat rond linksachter en een arm links en hij staan op iets 
B: 	ja 
B: 	ja 
B: 	dat zijn d 
