B: 	oké 
B: 	dit zijn een bakje en hij staan op een vierkant en hij hebben twee van die Pippi Langkousstaartjes 
B: 	ja 
A: 	beetje als Pippi Langkousvlechtjes 
A: 	ja 
A: 	oké dat zijn vijf voor mij 
B: 	jij moeten het zeggen 
B: 	ja 
B: 	letter J 
A: 	dit zijn degeen met die Pippi Langkousvlechtjes en dat groot cirkel wel 
B: 	Pippi Langkous 
A: 	check dat zijn elf 
B: 	letter P 
A: 	dit zijn die met de Pippi Langkousvlechtjes 
A: 	ja dat zijn negen voor mij 
B: 	Pippi Langkous 
A: 	Pippi Langkous 
B: 	letter L 
