A: 	ja en dan aan de linkerkant hebben je een soort van L eraan zitten 
A: 	ja 
A: 	dus die gaan we vanaf nu stoomboot noemen 
A: 	oké 
A: 	welk zijn die bij jou 
A: 	H zes 
B: 	oké 
B: 	even kijken 
B: 	dit zijn zeggen maar aan de zijkant zitten een een steel die zo omhooggaat zeggen maar 
B: 	ja ja zo als alsof je je arm zo hebben 
B: 	ja ja ja 
A: 	plaat recht door de emmer heen een L aan de zijkant van het hoofd twee spriet bovenop 
A: 	zestien 
A: 	ik weten welk je bedoelen maar ik moeten hem eerst vinden 
A: 	ik moeten hem vinden 
A: 	met de L aan de zijkant 
A: 	ja oké 
A: 	I dertien 
B: 	ja die ja ja 
B: 	C 
B: 	nu hebben ik die weer met met dat hand zo 
B: 	en met links bovenop of met met bovenop zo'n twee streep 
B: 	ja 
A: 	stoomboot van jou 
A: 	met die L aan de zijkant 
A: 	vijftien 
B: 	ja 
B: 	J 
A: 	ja 
A: 	welk zijn het 
A: 	M negen ja maken niet uit 
A: 	ik vergeetgen het zelf ook de heel tijd 
B: 	die met die arm zo en die slurf 
A: 	je stoomboot 
A: 	met de L aan de zijkant 
A: 	achten 
