B: 	hier zitten bovenop de emmer liggen soort van een klein rechthoek 
B: 	en dan aan de linkerkant komen er een soort tui op zijn kop uit 
B: 	die een beetje rond zijn 
B: 	en aan de rechterkant zijn ook een tui 
B: 	wat lijken op een driehoek 
B: 	en daarbovenop een staafje 
B: 	dat zijn een beetje niet niet heel bijzonder hij zijn nogal compact 
B: 	het zijn de emmer hebben erbovenop liggen er soort van een vierhoekig staafje 
B: 	aan de linkerkant komen er een ja soort van tui uit maar dan op zijn kop 
B: 	wat een beetje rond vorming onderaan hebben 
B: 	en aan de rechterkant zitten er een driehoekig tui met daarop een staafje 
A: 	zo'n steken zo'n ding uit 
A: 	alsof hij iets vasthouden zoiets laten we het zo maar zeggen 
A: 	lijken op een mouw misschien 
A: 	alsof er lijken het op een mouw misschien een beetje 
A: 	zo zo 
A: 	okee dat zijn denken ik nummer vijfteen bij mij 
B: 	ja h 
A: 	deze zijn ook heel compact zoals je laat zeggen 
A: 	het lijken net of hij zoiets vasthouden zo dat klein staafje 
A: 	ja en dan hier hebben hij zo'n raar armpje en een blok op zijn hoofd 
B: 	deze hebben die omgedraaide trechter aan de linkerkant soort van de neus 
B: 	en bovenop een rechthoekig staafje 
A: 	ja en dat raar armpje hier 
A: 	zo 
A: 	dat zijn nummer drie 
B: 	ja p 
A: 	deze zijn die compacte met dat raar armp zo 
A: 	alsof die iets vasthouden 
B: 	deze hebben de omgedraai trechter neusachtig iets aan de linkerkant en die staaf bovenop 
B: 	f 
A: 	en zo'n armp 
A: 	waar staan hij 
A: 	daar nummer negen 
A: 	dit zijn die heel compact die zo iets vasthouden 
