A: 	ja ik hebben geen idee hoe ik deze moeten omschrijven qua woord maar je hebben aan de rechterkant twee van die vierkant blok zitten aan de linkerkant zitten een 
A: 	op dezelfde hoogte van die twee vierkant blok zitten een soort hendel 
A: 	daaronder daar zitten een soort uitlaatpijp en bovenop zitten nog een gek ja 
A: 	ja en daarna weer plat ja precies 
B: 	ja een soort 
B: 	en die zien er plat uit 
B: 	en hij hebben aan de rechterkant staan twee 
B: 	oké ja ja ik vinden het een soort kip maar 
B: 	dan zijn het zijn het I 
A: 	ja ja ja ja 
A: 	ja 
A: 	met die twee vierkant blok aan de rechterkant 
A: 	of 
A: 	ja ja rechthoek ja ja ja 
A: 	ja deurklink prima 
A: 	dat zijn twee 
B: 	dit zijn de kip 
B: 	met aan de rechterkant die twee of dat dat isteken 
A: 	de deurhendel volgens mij 
B: 	de kip 
B: 	dat zijn M 
B: 	ja 
A: 	de deurklink 
A: 	dat zijn waar staan die 
A: 	ah daar 
A: 	dat zijn negen 
B: 	dit zijn de kip 
A: 	de deurklink 
B: 	de kip dat zijn F 
A: 	deurklink waar zijn de deurklink verstoppen 
A: 	daar 
A: 	zes 
B: 	kip 
