B: 	hier hebben je soort van een ja tafel rechthoek vierkant ding dwars onder de emmer 
B: 	het lijken een beetje alsof er tafelpot aan zitten 
B: 	en daarop staan een soort van Trechterachtig hoekig trechterachtig dinget 
B: 	en daarachter komen een tui uit uit de emmer 
B: 	even kijken ja je hebben je emmer 
B: 	en daar zitten een soort vierkant doorheen 
B: 	en daar komen twee poo uit 
B: 	of twee 
B: 	ja uit het vierkant 
B: 	dat door de emmer heen is de dat zijn ongeveer op drievirie hoogte gaan er een soort van een vierkant door de emmer heen 
B: 	ja 
B: 	f 
B: 	deze hebben het tafel wat door de emmer heen zijn met de twee poo 
B: 	en 
B: 	drievirie hoogte gaan hij dwars door de emmer heen 
B: 	ja 
A: 	ja 
A: 	ja dus een soort alsof het een vierkant zijn en daarin worden het beker neerzetten laten maar zeggen of 
A: 	ja 
A: 	ja ja inderdaad 
A: 	okee en dan hebben het in de lucht hangen er twee poo van het houder en steken iets uit aan de linkerzijde 
A: 	en dan op het plateaut liggen inderdaad nog een blok 
A: 	ja dan zijn het twaalf 
B: 	ja dat zijn 
B: 	where did it Go 
B: 	ja h 
B: 	de tafel 
B: 	d 
A: 	dit zijn het beker wat zeggen maar in een plateaut zitten met die twee poo die in de lucht hangen 
A: 	met een soort vierkan op het plateaut laten maar zeggen 
A: 	in de lucht 
A: 	en aan de linkerzijde nog zo'n dinge 
A: 	ja dat zijn nummer drie 
A: 	het plateau door het beker heen met de twee poo in de lucht en nog een blok daar op het plateaut 
A: 	ah in de lucht de poo 
A: 	ja nummer tien 
A: 	poo in de lucht van het plateaut 
A: 	balkje daarop 
A: 	en bekertje zitten in het houder 
A: 	dus het 
A: 	ja een houder waarin het beker zitten die twee poot hangen in de lucht en 
A: 	ah okee 
