A: 	ja 
A: 	ja 
A: 	Antenne erop 
A: 	ja 
A: 	dat zijn nummer veertien 
B: 	bak met een schermpje op zijn zij 
B: 	en met twee armp zo voor zich uit en een antenne op zijn kop 
A: 	ik hebben nu die twee met die twee kubus aan de linkerkant en die antenne erop en dat vierkan aan de voorkant 
A: 	okee 
A: 	okee twaalf 
B: 	ja 
B: 	dat zijn J 
A: 	deze zijn met die antenne en die twee kubus aan die twee keer vier kubus aan de linkerkant en dat 
A: 	met dat vlak ervoor ja 
B: 	bak 
B: 	ja een flatscreen tv'tje hebben hij met zich mee , of een vierkant 
B: 	en die zo op hem plken zijn 
B: 	en twee armp aan die kant , en een antenne op zijn hoofd 
A: 	twaalf 
A: 	dit zijn met die twee twee keer vier kubus aan de linkerkant die antenne en dat vierkan aan de voorkant 
B: 	zijn I 
B: 	een plaat op zijn zijkant , spijker op zijn kop , of een antenne , en aan de linkerkant twee toren 
B: 	met zo'n rond plateautje 
B: 	J 
