A: 	en er zitten twee stok aan de achterkant 
A: 	omhoog 
A: 	en nog één 
A: 	ja 
A: 	twee 
B: 	nou hebben hem weer ja 
B: 	er zitten zeggen maar een een plat vierkant zitten er ongeveer erin in het kop 
B: 	en bovenop staan twee punt achtig ministaaf 
B: 	en link hebben je zo'n 
B: 	ja ik zitten aan een kapstok te denken maar ja 
B: 	en vooraan hebben je een soort van Ronde staaf die naar voren komen 
A: 	een tafel een beetje of een plateau door de door het kop heen in het midden met de slurf eruit en twee dinget omhoog 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij j 
A: 	ja 
A: 	veertien 
B: 	deze hebben in het midden ongeveer een vierkant zitten en bovenop twee staaf 
A: 	een tafel door het midden van de van het kop heen 
A: 	voorin een slurf 
A: 	Bovenin twee klein dinget , links zo'n vierkan 
B: 	ja dat zijn n 
B: 	twee klein staafjes bovenop en een plat vierkant erin 
A: 	ja 
A: 	tien 
B: 	ja dat zijn 
B: 	ja ja dat zijn f 
A: 	tafel halverwege 
A: 	Bovenin twee klein dinge 
