B: 	deze hebben een een soort van 
B: 	ja plaat er weer doorheen lopen met tafelpot eraan daar vergelijk ik het een beetje mee 
B: 	ja waar ook een bak op staat ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ik met twee hendel wat je eigenlijk zo op kunnen pakken 
A: 	ja 
A: 	ik denken een soort kruiwag of zo idee 
A: 	dat zijn bij mij en aan de achterkant hebben je nog een klein pluk zitten 
A: 	ja 
A: 	dat zijn nummer zestien bij mij 
B: 	ja 
B: 	dat zijn voor mij de letter P 
A: 	ja dit zijn weer een beetje die kruiwag die je eigenlijk zo op kunnen pakken 
A: 	dus dat die basisvorm 
A: 	daardoorheen eigenlijk die rond 
A: 	met daar ook een bak op 
A: 	en dat tentakel aan de achterzijde 
B: 	dit zijn de met de plaat erdoor doorheen met de tafelpoot en het bak erop 
A: 	met die twee 
A: 	die kruiwag 
A: 	ja 
A: 	dat zijn veertien 
B: 	dat zijn voor mij N 
B: 	dit zijn weer de tafel die het doorboort met het bak erop 
A: 	dit zijn de kruiwag 
A: 	dus die je eigenlijk zo op kunnen pakken met het bak erbovenop 
A: 	oké dat zijn nummer tien 
B: 	oké 
B: 	D 
A: 	dit zijn de kruiwag 
