A: 	ok deze hebben een soort dienblad tenminste daar moeten ik het heel erg aan denken en aan de ander kant van het glas zitten 
A: 	ja best wel nog een breed uitsteeksel en daar bovenop zitten weer iets wat uitlopen 
A: 	ja 
B: 	ja een uitsteeksel en een soort van trompetding 
B: 	ja 
B: 	dat zijn bij mij L 
A: 	dat zijn zeven 
B: 	ja ik hebben nou weer die een met dat trompet met die trompetuitsteeksel en dan 
B: 	ja 
A: 	dit zijn weer met het dienblad 
A: 	met die spijker zo naar achter zeggen maar 
B: 	ja 
B: 	dat zijn bij mij C 
A: 	ja dat zijn één 
A: 	o dit zijn het dienblad 
A: 	ja 
B: 	weer die een met dat trompetgedoe en dat rond plateautje zeggen maar 
A: 	ja dat zijn dertien 
B: 	ja 
B: 	dat zijn A 
B: 	die een met die trompet en dat plateau dat rond plateautje zeggen maar 
