A: 	okee 
A: 	nu zijn het ook een soort van ja ook weer een soort van pionnetje of een weer een soort van steel aan de appel alleen dan echt in het midden van het beker en echt wel een groot 
A: 	en dat steelt zitten ook precies aan de linkerkant 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn hem 
B: 	ja 
B: 	een beetje als legoblokjes 
B: 	ja 
B: 	ja 
B: 	dan denken ik dat ik hem wel weten ja 
B: 	ik gaan voor I 
A: 	ik zien hem 
A: 	ja 
A: 	ja precies 
A: 	dat zijn nummer dertien 
A: 	dit zijn ook dat van die kubus van klein naar groot alleen zitten dat rechts 
A: 	en bovenaan en link zitten ook zitten ook twee dezelfde ja 
B: 	ja 
B: 	hee hebben wij deze niet al doen ? zitten ik te denken 
A: 	knuppelt ja 
A: 	ja 
B: 	misschien moeten we nog een keer 
B: 	ja moeten we of allebei apart uitleggen 
B: 	bij dit kop zitten er aan de rechterkant een soort van legoblokjes oor 
B: 	waarbij die ook groot worden 
B: 	je hebben Linksvoor hebben je een soort zeppelinneus waar je het toen ook over hebben 
B: 	Bovenin zitten ook een zeppelinlepel 
B: 	en je hebben nog een ander uitsteeksel 
B: 	weten je dan welk ik bedoelen 
B: 	ja 
B: 	ja 
B: 	gek uitsteeksel 
B: 	ja 
A: 	waar zijn die 
A: 	ja 
A: 	dat zijn dertien 
B: 	ja 
B: 	ja 
B: 	nou dat zijn voor mij b 
A: 	het kegel aan de bovenkant wat hetzelfde aan de rechterkant zitten 
A: 	aan de linkerkant sorry dus bovenaan en links zitten 
A: 	ja 
A: 	ja ja waar zijn die 
A: 	ja 
A: 	dat zijn nummer een 
B: 	denken weer aan zeppelinvormen 
B: 	zeppelinneus zeppelinlepel 
B: 	aan de rechterkant legoblok 
B: 	en nog een ander uitsteeksel 
B: 	ja 
B: 	dat zijn g 
B: 	zeppelinvorm vooraan en bovenop en legoblok aan de rechterkant 
