A: 	hebben die ook onder zo'n uitsteeksel 
A: 	oké 
A: 	ik hebben echt geen idee 
A: 	kunnen je waar zitten het driehoekje 
A: 	ja 
A: 	die bol ja en dan twee verschillend ding bovenop 
A: 	oké ja dan zijn het veertien 
B: 	oké dit zijn ja er staan twee ding bovenop 
B: 	één zijn een beetje dat zijn gewoon een rechthoek 
B: 	en de ander zijn een beetje ja een handvat zeggen maar 
B: 	en aan de zijkant één hebben zo'n dik bol 
B: 	en aan de ander kant zijn een soort driehoek 
B: 	ja die staan dan zeggen maar in een kwart van elkaar 
B: 	en er staan ver niks 
B: 	ja 
B: 	ja 
B: 	staan één rechthoek en één soort ja wat zullen het zijn ? handvat cilinderachtig 
B: 	en dan aan de zijkant aan de een zijkant ja dan zijn dat volgens mij link staan zijn een handvat van een driehoek 
B: 	en aan de ander ja en een kwartslag ver zijn zeggen maar een rond ding ja we kunnen het zien als een neus maar ik weten niet 
B: 	ja ja 
B: 	ja ja 
B: 	ja 
A: 	dit zijn die met die bol aan de voorkant en die twee verschillend ding erbovenop 
A: 	met die driehoekig uitsteeksel nog 
B: 	ja 
B: 	en aan de zijkant ook nog 
B: 	dat zijn N 
A: 	ja 
A: 	ja dat zijn negen 
A: 	dit zijn die met die bol aan de voorkant en twee verschillend uitsteeksel boven en zo'n driehoekje aan de zijkant 
A: 	ja 
A: 	oké dat zijn vijf 
B: 	ja wat zijn deze ? dat zijn die neus met die twee ding erbovenop 
B: 	niet dat niet die neuspiercing maar die ander 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	dit zijn die met die bol aan de voorkant en twee verschillend uitsteeksel bovenop en dat driehoekje 
B: 	ja 
B: 	ja dat zijn G 
B: 	dit zijn de gewoon neus 
B: 	de gewoon neus 
B: 	met die twee uitsteeksel 
B: 	ja ja 
B: 	dat zijn best wel 
B: 	ja 
B: 	dat zullen echt gemeen 
B: 	ah ja 
B: 	dat zijn J 
