A: 	ja ja dat zijn nummer vier 
B: 	dit plaat hebben een soort ik vinden het een beetje op een schroef lijken aan de onderkant 
B: 	ja en dan met een driehoek Eronderaan en 
B: 	ja 
B: 	oké 
A: 	deze hebben aan de onderkant dat gedraaide ding in die driehoek 
B: 	oké 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	ja dat zijn bij mij tien 
A: 	dit zijn weer met die schroef aan de onderkant met de driehoek 
B: 	dit zijn met die soort schroef 
B: 	of 
A: 	ja nummer vier 
A: 	die met die schroef aan de onderkant in de driehoek 
B: 	ja 
B: 	hij ja dat zijn bij mij L 
B: 	dit zijn met die schroef 
B: 	kronkelding 
B: 	ja 
B: 	dat zijn bij mij F 
