B: 	ok ja deze hebben aan de bovenkant een balk aan de linkerkant een beetje soort van 
B: 	ja tui of zo en aan de rechterkant ja zitten er ook een vlak en daar zitten dan nog weer een 
B: 	balk op hij zijn zeggen maar alles zitten wel heel dicht tegen het object aan 
B: 	ja liggen ja die zijn zeggen maar net iets klein dan dat rond ding zelf 
B: 	ja 
B: 	ja 
A: 	ja ik ja ik denken dat ik het weten echt inderdaad zo'n balkje bovenop 
A: 	en dan ja ik vinden het een beetje op kort mouw lijken 
A: 	zullen ik maar zeggen aan twee kant 
A: 	en dan inderdaad zo'n heel dun staafje met iets dus dan zijn het nummer acht 
B: 	een balk bovenop 
B: 	zijn hij zeggen maar die heel compact of niet ok 
B: 	zeggen maar die balk erop en aan de linkerkant hebben hij zoiets en aan de rechterkant en er zitten nog een staafje op 
B: 	ok dan zijn het E 
A: 	dit zijn weten je wel ? met die hanenkam en dat jij denken aan een espressoapparaat 
B: 	ok ja dit zijn die compacte met dat blok bovenop 
A: 	ja met dat balk 
B: 	ja 
B: 	dat zijn E 
A: 	ah ja even kijken waar die zijn 
A: 	ja dat zijn nummer één 
B: 	ok dit zijn die compact 
A: 	dit zijn dat espressoapparaat met zo'n balkje 
A: 	even kijken 
A: 	ah dat zijn nummer zestien 
A: 	dat zijn dat espressoapparaat 
