A: 	ja 
A: 	nummer vier 
B: 	ok deze hebben ik gewoon omschrijven als toren zijn by far de groot 
B: 	met met een soort met een soort 
B: 	ja een soort kronkel aan de onderkant op een plateaut verhogen 
A: 	nou dit zijn de wat jij eerder zeggen de enig kop met een soort van draaikolk aan de onderkant 
A: 	die eindigen op een driehoekje 
B: 	ok die heel hoog zitten 
B: 	ja ik hebben die inderdaad hij hebben een beetje zo vleugel aan de achterkant een vierkan rechts bovenop en een soort driehoekig platvorm waar hij op staat 
B: 	ok A 
B: 	de struisvogel 
B: 	het heel hoog ding 
A: 	ja 
A: 	nummer tien 
B: 	ja ok L 
A: 	nou dit zijn het enig plaa met een draaikolk 
A: 	die op een driehoekje uitkomen 
B: 	struisvogel 
B: 	wijnglas 
B: 	o ja F 
A: 	ja 
A: 	nummer vier zijn dat 
A: 	dit zijn de mok met de draaikolk die op een driehoekje uitkomen 
