A: 	nou we hebben weer de hoofdvorm en dan hebben je een staafje die steken direct uit aan de voorkant van de hoofdvorm 
A: 	dan hebben je ook een soort vinne wat aan onderkant van die hoofdvorm zitten 
A: 	en aan de achterkant van de hoofdvorm hebben je een ruit en die hebben twee uitsteeksel 
A: 	ja 
B: 	wachten aan de onderkant 
B: 	okee 
B: 	ah ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	okee dan zijn het b 
A: 	ja 
A: 	en dan aan de onderkant hebben je zo'n vinne die uitsteken 
A: 	ja 
A: 	ja 
A: 	nummer zestien 
A: 	dit zijn die hoofdvorm waarbij er een soort van kraantje onderaan zijn maken en 
A: 	ja 
A: 	dat dat kraantje eronder 
A: 	ja een soort van neus 
A: 	okee nummer twaalf 
B: 	dit zijn die met die citroen in het glas 
B: 	met even kijken door de citroen ook die twee staaf en een staafje onderaan het glas 
B: 	en aan de rechterkant ook nog twee staaf 
B: 	ja 
A: 	dit zijn de hoofdvorm met het kraantje eronder 
A: 	ja 
A: 	even zoeken 
A: 	nummer drie 
B: 	ja 
B: 	dat zijn l 
B: 	cocktail met citroen erin 
B: 	ja 
B: 	dat zijn g 
B: 	de cocktail met de citroen 
