B: 	en zitten er aan het einde van die staaf weer een cirkel 
B: 	oké dan zijn het F 
A: 	nou ja dit zijn een soort van ja ja ik noemen het de neuspiercing 
A: 	ja met iets erdoorheen en één haar 
B: 	deze hebben ook die bol met die staaf erdoorheen met een soort cirkel aan het einde 
B: 	ja 
B: 	dat zijn A 
B: 	die bol met die staaf erdoorheen met die schijf aan het einde 
A: 	die gaan ik weer even opzoeken ja dat zijn numero vijf 
B: 	dat zijn H 
A: 	dit zijn de piercing 
A: 	de neuspiercing 
B: 	dit zijn die met die bol met dat staafje erdoorheen en die cirkel aan het einde 
A: 	de neuspiercing dat zijn numero vijf 
A: 	de neuspiercing 
A: 	dat zijn nummer vijftien 
