B: 	oké ja ik beschrijven het als Pippi Langkous het hebben aan beide kant drie kraalt laten maar zeggen die uit het kop komen 
B: 	en dan nog een vierkant eronder en een rond ding met een haal aan de voorkant 
A: 	ja 
A: 	ja 
A: 	en die twee macaroni dinget op de achtergrond ok ja dat zijn nummer vijf bij mij 
B: 	ja de met de drie 
B: 	yes 
B: 	J 
B: 	pinokkio Pippi Langkous sorry Pippi Langkous Pippi Langkous 
B: 	Pippi Langkous 
A: 	ja dit zijn die kop die op dat plateau staan met die aan beide kant drie van die 
B: 	ja P 
A: 	bollet of diaman die er zeggen maar uitkomen en zo'n vlakje voor en die macaroniding op de achtergrond ja 
B: 	Pippi Langkous 
A: 	en dat rond er voorop en die 
A: 	ja dat zijn nummer elf 
B: 	Pippi Langkous L 
A: 	dit zijn die op dat plateau staan met die twee sliert die er uitkomen en dat rond er voorop en macaroni 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	dit zijn met dat plateau met die twee friemeltjes aan de zijkant en macaroni op de achtergrond en een rond plaat voorop 
