B: 	oké 
B: 	ja 
B: 	ja 
B: 	oké dan zijn het I 
A: 	aan de rechterkant hebben het twee balk die eruit steken maar als je je hoofd kantelen naar links vinden ik dat het een varken zijn en dan zien je hem waarschijnlijk meteen maar 
A: 	ja 
A: 	ja ja ja 
A: 	en aan de ja 
B: 	oké dit zijn diegene met zo'n iste aan de zijkant eruit en een driehoek erop die aan de bovenkant plat zijn 
B: 	ja ja 
B: 	dat zijn M 
A: 	ja 
A: 	dan zijn dat twee 
A: 	dit zijn dat dat varken 
B: 	ik hebben degeen met een isteken eraan 
B: 	en zo die afgeplatte driehoek aan de bovenkant 
B: 	ja ja 
B: 	even zoeken waar zijn die ? ja 
B: 	dat zijn F 
B: 	ik hebben die met het isteken en de afgeplatte driehoek 
A: 	waar staan die 
A: 	negen 
A: 	dit zijn het varken 
A: 	zes 
