B: 	oké ik hebben er één het hebben een soort van rood of een bolle aan de voorkant 
B: 	en één soort van kwastje die eruit steken en nog een recht 
B: 	ja en nog een soort van driehoekje aan de ja 
B: 	oké 
A: 	een driehoekje 
A: 	ja 
A: 	lijken op een soort konijntje eigenlijk 
A: 	dan zijn het nummer veertien 
B: 	ja ja dat zijn de N bij mij 
A: 	dit zijn die het konijntje 
A: 	dit zijn met die bol rechtsvoor 
A: 	en zo'n balkje bovenop en dan links zo'n zo'n driehoekje 
B: 	weer een het bolle aan de voorkant soort van 
B: 	en een soort van kwastje erin en dan weer dat recht plaat 
B: 	ja 
B: 	en dat driehoekje aan de zijkant yes 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	top 
B: 	en het ja 
B: 	yes dat zijn G bij mij 
B: 	weer met die neus 
B: 	en dan dat rechthoekje en de kwast 
B: 	oké 
B: 	oké 
A: 	het konijntje 
A: 	met de bol aan de voorkant en de twee 
A: 	ja 
A: 	zijn nummer vijf 
B: 	ja en dan dat staafje en dat driehoekje 
B: 	yes 
B: 	dat zijn J bij mij 
A: 	konijn 
