A: 	ja 
A: 	nummer vijf 
B: 	ok deze staat eigenlijk zijn een beker op een tafel en hij hebben paar van die raar bollet zo naar de zijkant 
B: 	ja die die die die drie drie van die soort 
B: 	ja ja inderdaad zo'n soort schijf ja 
A: 	dan hebben ik weer de koffiemok die aan de voorkant een soort van plat satelliet hebben 
A: 	en aan de zijkant twee handvat met drie bollet 
A: 	ja die 
A: 	ja 
B: 	o die die jij die jij wokkel noemen 
B: 	en met die cirkel aan de voorkant 
B: 	ok J 
B: 	ok met de wokkel 
B: 	en ja rond ding aan de voorkant 
A: 	ja 
A: 	ja 
A: 	ja ja 
A: 	dat zijn nummer elf hier 
B: 	ja met cirkel aan de voorkant 
B: 	P 
A: 	dit zijn de mok met twee of handvaten aan beide kant die maken zijn van drie bollet 
A: 	die 
A: 	ja 
A: 	ja 
B: 	wokkel oor 
A: 	ja 
A: 	nummer negen 
B: 	ja met cirkel aan de voorkant L 
A: 	dit zijn de mok met de handvat die drie bollet hebben aan beide kant 
A: 	ja 
