B: 	ja ja ja dan weten ik al welk het zijn 
B: 	met twee van die toren aan de zijkant 
B: 	ja oké dan zijn het M 
A: 	ja ik ik vinden deze de raar vorm van van allemaal 
A: 	zitten het lijken op zo'n zo'n satelliet of zo 
A: 	Bovenin 
A: 	nee 
A: 	ja het hebben wel beneden zeggen maar zo'n zo'n waterslurfachtig 
A: 	zo'n zeggen maar ja je zullen het ook kunnen zien 
A: 	ja juist 
A: 	ja eigenlijk wel 
A: 	weten je wanneer je in het ziekenhuis zijn en dan hebben je van al die tubes en zo 
A: 	dat 
A: 	ja kloppen 
B: 	en deze hebben die ruit aan de bovenkant met twee van die torent aan de zijkant 
B: 	en een dinge beneden eruit aan de zijkant eruit en aan de voorkant eruit 
B: 	ja ja ja 
B: 	dat 
B: 	ja dat zijn h 
A: 	jou beurt 
A: 	met die ding boven die satelliet of plateaus weten ik veel wat het zijn 
A: 	oké 
A: 	negen 
B: 	ik hebben diegene met de ruit zeggen maar boven en met twee van die torent die erin gaan 
B: 	oké 
B: 	ja zoeken ja dat zijn bij mij D 
B: 	ik hebben diegene met die ruit en die twee torent erin 
B: 	die erboven zitten en twee uitsteeksel 
A: 	die die J zeggen maar met die satelliet daar bovenaan 
A: 	ja 
A: 	elf 
A: 	ja die sitconding wat je zeggen of die J en dan die satelliet 
A: 	ja 
A: 	veertien 
