A: 	ja 
A: 	zijn het die 
A: 	ja 
A: 	ja veertien 
B: 	dit kop hebben vier uitsteeksel als één rechts weer zo'n ei op het kop 
B: 	dan steken er een rechthoekig plank uit en een ja 
B: 	ja zo kunnen je het noemen ja en het lijken een soort driehoekig dinge naar de linkerkant 
B: 	ja dat zijn N 
A: 	er zitten een bal voorop 
A: 	er zitten geen balkje doorheen 
A: 	daar zijn er ook maar één van 
B: 	dit zijn die met het ei erop aan de rechterkant een balkje steken uit en die kegel 
B: 	en aan de linkerkant steken nog een balk uit 
A: 	ja 
A: 	my god oké jij zijn 
A: 	zitten er zitten er niet doorheen 
A: 	oké ja 
A: 	dat zijn negen 
B: 	ja dat zijn G 
B: 	dit zijn even kijken een ei aan de voorkant 
B: 	en één rechthoekig balkje eruit en één kegel eruit 
B: 	en aan de linkerkant nog een balkje 
B: 	wat ? kunnen je het nog een keer zeggen 
B: 	ja ja 
B: 	en die kegel 
B: 	ja ja dat zijn J 
A: 	ja 
A: 	ja want ik denken eerst dat dat dat dat het de plaat eromheen ook iets mee elkaar te maken hebben maar uiteindelijk blijken dat niet zo misschien 
A: 	een bal ervoor 
A: 	met twee uitstekel erin en één aan de zijkant 
A: 	gewoon een heel bal 
A: 	ja het zullen wel het handigst zijn denken ik 
A: 	maar weer veel werk zijn 
A: 	hij zitten de mijne die die die degeen die waar een rood vak omheen zitten zijn een bal voor 
A: 	en die gewoon één bal 
A: 	maar één van 
A: 	ja een kegeltje en een drie vierkant rechthoek in zitten er 
A: 	ja 
A: 	hij staan naast de lampenkapje met de balk erop 
A: 	best wel een stuk en er staan ook iets boven met een paddenstoel staan er wat staan er best wel vlak boven 
A: 	en daaronder zitten ook nog de slurf met de plaat erdoorheen 
A: 	ik weten niet 
A: 	ik goken misschien twee en een half keer 
A: 	ja 
A: 	dat zijn vijf 
A: 	er zitten een bal voor 
A: 	ik hebben maar één van 
A: 	een rond bal 
A: 	alleen met de bal 
