B: 	ja 
B: 	o 
A: 	okeeen deze hebben dus een neus die steken een beetje diagonaal uit zo naar de rechterkant 
A: 	met ook een arm erbij zo 
A: 	en die hebben een soort van ja die staan op een 
A: 	ja op een voetstuk en die hebben hier lijken het op zo'n strik 
B: 	deze hebben een soort van staaf die eruit komen onderaan die naar de toe wijzen 
B: 	en aan de zijkant komen er ook zoiets uit wat aan de rechterkant ook naar je toe wijzen 
B: 	bovenop zijn er twee ruit en dan 
B: 	ja 
A: 	lijken het op een op op zo'n knot of 
A: 	en hij staan op iets 
A: 	ja 
A: 	okee dat zijn nummer veertien 
B: 	ja d 
A: 	deze hebben ja dat kunnen een strik noemen hierboven 
A: 	dat arm hier zo 
B: 	deze hebben de ruit bovenop met de staaf eruit 
A: 	hier een neus dat zo uitsteken en hij staan op iets 
B: 	en aan de onderkant en aan de rechterkant komen er een soort van iets uit wat naar jou toe wijzen 
B: 	ja daarachter soort van twee ruit 
B: 	en aan de een kant komen er die blok uit en aan de ander kant 
B: 	ja c 
A: 	ja zo'n kromme voet ja 
A: 	dat zijn zes 
B: 	dit zijn de met de twee ruit bovenop en waar de blok uitkomen 
A: 	deze lijken net of die dat strik hebben en zo'n arm 
A: 	en dan dan staan hij op iets 
A: 	ja dat zijn tien 
