A: 	oké 
A: 	deze zijn een beetje lastig uit te aanleggen het lijken een beetje alsof er een schuin boek op de bovenkant staan 
A: 	met een soort van horizontaal figuur erdoorheen 
A: 	helemaal boven op dat blauw ding laten maar zeggen het lijken op een soort van boek 
A: 	ja met een soort van 
B: 	driehoek bovenop en twee van die ding eraan 
A: 	ja en dan nog zo'n L onderaan 
B: 	ja ja ja ja een rui bovenop 
A: 	ik snapen wat je ik snapen wat je bedoelen 
B: 	misschien 
B: 	en dan twee Minecraftdingen aan die ruit 
B: 	ja 
B: 	oké 
B: 	M 
A: 	ja klopt dat zijn bij mij negen 
B: 	dit zijn die een met de ruit boven met twee Minecraft dinget aan de 
B: 	ja die 
B: 	ja twee uitsteeksel die hetzelfde zijn 
B: 	ja het rui op op achter op zijn hoofd en 
B: 	ja 
A: 	ik hebben die met dat boek weer met die twee trap erdoorheen 
B: 	ja 
B: 	H 
B: 	wachten uitlaat 
B: 	oké maar die wijzen naar voren 
B: 	oké ja dat zijn h 
A: 	ja nummer elf 
B: 	zijn die een met die ruit met de twee Minecraftdingetjes door de ruit 
B: 	ja de uitlaat 
B: 	een kraan noemen jij dat 
B: 	ja oké nou zien ik het 
A: 	ik hebben die met dat boek bovenop 
A: 	en die twee stapel erdoorheen 
B: 	ja 
B: 	D 
A: 	veertien 
B: 	de kraan 
