A: 	hij hebben een groot lang ovaal druppel boven en link 
A: 	en een kubus aan de rechterkant 
A: 	net als een trapezius dat hij zo een beetje inkrompen zijn die kubus 
A: 	dus kubus rechts en zo'n lang druppel boven en link 
A: 	dus één zo'n ovaal dinge zo 
A: 	daarboven en dan ook link 
A: 	en dan rechts een kubus 
A: 	en boven die linker zijn nog een klein heel klein uitsteeksel 
B: 	wachten even dan hebben ik de verkeerd 
B: 	ik denken de puntmuts 
B: 	ja ja 
B: 	dan weten ik het al wel 
B: 	staart ja dat zijn nummer e 
A: 	ja 
A: 	negen 
B: 	deze hebben dat geblokken ding wat we zeiden met een groot blok en dan klein blok dat hebben hij aan de rechterkant 
A: 	de ovaal antenne boven en links en de kubus rechts 
B: 	een arm zeggen maar 
B: 	en twee dezelfde ding die naar boven steken en één die naar link steken 
B: 	een soort hoe noemen je dat kegel 
B: 	en een klein dinge nog links 
B: 	krom dinge 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja vijfteen 
A: 	de kubus rechts en de voelspriet erboven en link 
B: 	ja ik zitten even te kijken waar die staan 
B: 	ja dat zijn k 
A: 	een 
B: 	dit zijn die met twee kegel één naar boven en één naar links en een pixeliseren neus aan de rechterkant of arm 
B: 	en nog een uitstulpsel link 
B: 	ja 
B: 	pixeliseren ding 
B: 	ja h 
B: 	dit zijn met twee kegel boven en links en een pixeliseren arm neus rechts 
B: 	en nog een uitstulsel link 
