A: 	ja 
A: 	ja 
A: 	ja lijken een beetje op een tafel 
A: 	die 
A: 	ja oké top 
A: 	dan zijn het zestien 
B: 	ja 
B: 	dit zijn dit zijn eigenlijk de hier lijken het net of er een tafel doorheen zitten 
B: 	met een bak erbovenop 
B: 	ja 
B: 	zo'n kuifje ja 
A: 	dit zijn die met die picknicktafel 
A: 	even zoeken 
A: 	wow 
A: 	ja 
A: 	oké dat zijn veertien 
B: 	bloempot 
B: 	even kijken 
B: 	ja er staan twee punt streepjes 
B: 	zullen ik 
B: 	het zijn niet die cactus nee 
B: 	dat het zijn gewoon dat er een soort plank in het midden 
B: 	die ah ik zien het volgens mij al 
B: 	een klein stuk 
B: 	ja ja ja 
B: 	dat zijn P 
A: 	ik hebben die met de picknicktafel 
A: 	oké 
A: 	even zoeken 
A: 	dat zijn tien 
B: 	ja wat zeggen je die plantenbak met dat ding er 
B: 	ja 
B: 	ja ja ja 
A: 	dit zijn die met de picknicktafel 
B: 	plantenbak 
B: 	moeten ik even kijken waar die staan 
B: 	ah dat zijn N 
B: 	ja dit zijn die plantenbak 
B: 	de bloempot 
B: 	oké 
B: 	ah ja 
B: 	D 
