A: 	ja deze hebben zeggen maar die emmer en dan hebben je bovenop zo'n rond staan en dan aan de zijkant zitten weer precies hetzelfde figuur 
A: 	en aan de rechterkant zo zitten ja zo'n vierkant telescoop zeggen maar dus zo'n vierkant wat de heel tijd klein worden 
A: 	ja wat zijn dat ? zo'n langwerpig ja soort handvat of zo achtig 
A: 	en aan de zijkant zitten die zitten weer precies dezelfde vorm zeggen maar 
A: 	en aan de achterkant zitten nog zo'n buis 
A: 	of iets 
B: 	o ja ik ja ik weten denken ik wel welk je bedoelen dat zijn bij mij E 
A: 	oké 
B: 	ok 
A: 	ja precies aan de achterkant nog die buis 
A: 	ja dat zijn elf 
B: 	dit zijn ja weer dat dinge met dat met dat ovaal dinge aan de bovenkant ovaal dinge zeggen maar aan de linkerkant en die 
B: 	blok aan de rechterkant en achter nog iets van een slurf of zo 
B: 	ja 
B: 	ok bij mij F 
A: 	ja dit zijn weer die met die rond vorm aan de bovenkant en aan de zijkant 
A: 	en dan die vierkant die klein worden ook aan de aan de voorkant zeggen 
A: 	aan de achterkant die buis 
A: 	hoe zullen we die noemen 
A: 	ik vinden het nog 
A: 	ik vinden 
A: 	ja 
A: 	ja ik vinden het een beetje zo'n telescoopachtig ding 
A: 	telescoop doen 
B: 	o die met die vierkant ook ja dat zijn bij mij J 
B: 	ok 
B: 	ja het doen mij een beetje denken aan een miereneter van achteren of zo ja met vanwege die toet zo 
B: 	ja 
A: 	wachten even zoeken 
A: 	ja ja ja ja 
A: 	ik weten welk je bedoelen 
A: 	ik zijn hem even aan het zoeken ik kunnen hem niet 
A: 	met dat vierkant ja precies 
A: 	negen 
B: 	dit zijn zeggen maar die bij mij op de miereneter zeggen maar op de van achter lijken 
B: 	ok bij mij H 
A: 	ja dit zijn die telescoop zeggen maar 
A: 	dit zijn die 
A: 	dat vierkant dat steeds klein worden en die twee zelfde figuur 
A: 	ja ja ja ja 
A: 	ah zo 
A: 	ja die telescoop achtig ding 
A: 	ja weten ik veel ja 
A: 	dat zijn vier 
B: 	even kijken waar die zijn o daar B 
B: 	h even kijken 
B: 	ok 
B: 	o dit zijn de miereneter van achter 
B: 	ok bij mij E 
