A: 	oké ik hebben deze omschrijven als een soort zonnepaneel of gaspedaal die achter dat kop zitten 
A: 	en 
A: 	en ja ver zitten er zo'n heel lang staaf eigenlijk achter het komme 
B: 	ja 
B: 	ja ik hebben hem zelf ook gieter noemen 
B: 	dat zijn toevallig 
B: 	dat zijn K 
A: 	ja oké 
A: 	met die lang stuk 
A: 	dat zijn negen 
B: 	dit zijn die gieter 
A: 	ik hebben weer het gaspedaal 
B: 	dit zijn F 
B: 	dit zijn de gieter 
A: 	oké even zoeken horen daar ja ja 
A: 	dat zijn nummer drie 
B: 	dat zijn L 
B: 	dit zijn de gieter 
A: 	oké ik hebben die het gaspedaal 
A: 	ja 
A: 	ja dat zijn nummer vijf 
