A: 	ja 
A: 	bovenkant 
A: 	ja Antenne of zo ja 
A: 	dat zijn nummer een 
B: 	okeeen deze zijn wel grappig 
B: 	bij deze hebben aan de linkerkant hebben hij ja het lijken een beetje twee oog van legoblokjes 
A: 	dit zijn de twee kubus die van klein naar groot aan de linkerkant zitten er zitten er twee 
A: 	zijn gelijk 
A: 	bovenaan bovenaan zitten een soort antenne en dan een vierkant dinge eraan 
B: 	ja een spijker als Antenne en dan rechts aan de voorkant nog een een plaat 
A: 	ja 
B: 	ja joh ja 
A: 	twee 
A: 	ja 
A: 	zestien 
A: 	ja 
A: 	zestien 
A: 	dit zijn het vierkant plaat vooraan 
A: 	met weer een antenne daarboven en link twee dezelfde 
A: 	ja 
A: 	de joystick 
B: 	aha ja 
B: 	ja ja ja 
B: 	dat zijn omdraaien natuurlijk ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	nou dan gaan ik voor m 
A: 	ja 
A: 	dat zijn nummer een 
B: 	dit zijn degeen met de legoblokjesog en een spijker aan de bovenkant en één ja zo'n zo'n ja 
A: 	vierkant plaat met de joystick 
A: 	nee vierkant plaat aan de voorkant joystick 
B: 	de springstok ja ja 
B: 	en een spijker Antennetje 
B: 	dat zijn d 
B: 	oog aan de linkerkant een spijker bovenin en een een scherm aan de rechterkant 
B: 	jeej dat zijn h 
