A: 	ja 
A: 	een driehoeksstaaf ja ja die ook 
A: 	een kegel bovenop en een vierkant ja 
A: 	dat zijn nummer vier 
B: 	ja deze die die die vinden ik ook wel grappig 
B: 	ik beseffen me dat ik daarstraks hebben ik de hebben ik deze en een ander halen ik een beetje door elkaar 
B: 	maar ik hebben bij deze moeten ik weer denken een beetje aan een eineus 
B: 	alleen dan deze keer zeggen maar dan hebben die geen verticaal lat erdoorheen 
B: 	nee die hebben gewoon gewoon alleen de neus zeggen maar aan de rechterkant 
B: 	eineus 
B: 	en bovenin het kop twee ding erin zitten 
B: 	een lat die gewoon een latvorm zijn en ja iets wat je misschien als één van soort van pen zullen kunnen beschouwen 
B: 	beetje diagonaal staan die erin 
B: 	ook een heel goed ja ja 
B: 	ja hebben je bee een idee welk dat zijn 
A: 	deze hebben een bol aan de voorkant rechtsvoor 
A: 	en er staan een kegel omstekop op en een rechthoek op 
A: 	en een rechthoek op en nog een uitsteking aan de linkerkant 
B: 	ja 
A: 	ja 
A: 	een bal ja 
A: 	yes dat zijn een 
B: 	doorheen 
B: 	ja ja ja 
B: 	alright dan gaan ik voor j 
A: 	dit zijn met de bal rechtsvoor en een kegel en een vierkant erbovenop of een rechthoek 
A: 	ja dat zijn twee 
A: 	dit zijn met de bal rechtsvoor en die kegel en die rechthoekig staaf daar bovenop 
B: 	het zijn het eineuskopje 
B: 	zonder een horizontaal stang erdoorheen 
B: 	maar met twee object bovenin 
B: 	en aan de linkerkant een uitsteeksel 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij e 
B: 	we hebben ons welbeken kop met een eineus 
B: 	een la bovenin een omgekeerd stropdas 
B: 	ja waar zijn je 
B: 	ja dat zijn j 
