B: 	ik hebben de trofee 
B: 	ja met als enig zo'n uitstulpsel echt onder 
B: 	lijken op de trofee 
B: 	staan op zo'n drie 
B: 	ja 
A: 	ja oké 
A: 	twee blok erop 
A: 	ja ik zien er één met twee blok erop hebben zeggen maar de onderkant een soort van draai erin zitten 
A: 	ja oké 
A: 	en dan inderdaad een een driehoek die er onderin zitten 
A: 	oké dat zijn vier voor mij dan 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	deze hebben een draaien onderkant en de driehoek eronder 
A: 	ja 
A: 	en die twee blok 
B: 	met dat voe 
B: 	die trofee 
B: 	dNAstreng 
B: 	ja zijn L 
B: 	ik hebben die met die dNAstreng 
B: 	ja 
B: 	F 
A: 	ja en de en de draaien 
A: 	ja gedraaide ding oké dat zijn tien 
A: 	dat kloppen 
A: 	oké dit zijn weer de draaien onderkant met de driehoek eronder 
A: 	yes 
A: 	oké dat zijn vier 
A: 	deze dit zijn weer die met de draaien onderkant en de en de blok erop 
