A: 	dit zijn ook een onderzeeër alleen die hebben twee van die vierkant staafjes aan de achterkant en een dakje 
A: 	en aan de voorkant zitten ook een slurf 
A: 	ik vinden het ook echt net een boo 
A: 	nee 
A: 	hij hebben hij hebben een een een armpje zo 
A: 	of zo eigenlijk 
A: 	en dan twee vierkanut aan de vierkant blok aan de achterkant en iets aan de onderkant 
A: 	het lijken 
A: 	ja 
A: 	ja 
B: 	ja een soort 
B: 	en die zien er plat uit 
B: 	en hij hebben aan de rechterkant staan twee 
B: 	oké ja ja ik vinden het een soort kip maar 
B: 	dan zijn het zijn het I 
A: 	ja die ja ja die ander onderzeeër 
A: 	gaan ik hem even ja 
A: 	ja twee 
A: 	zijn de onderzeeër met het raar het mislukken driehoekje 
A: 	ja die dat bak hebben 
A: 	ja aan de rechts 
A: 	ja 
A: 	ja 
B: 	dit zijn de kip 
B: 	met aan de rechterkant die twee of dat dat isteken 
B: 	de kip 
B: 	dat zijn M 
B: 	ja 
A: 	ja met dat mislukken driehoekje 
A: 	ja 
A: 	negen 
A: 	dit zijn de mislukken driehoek onderzeeër 
A: 	ja 
A: 	ja die mislukken driehoek 
A: 	ja 
A: 	zes 
B: 	dit zijn de kip 
B: 	de kip dat zijn F 
B: 	kip 
