B: 	ja 
B: 	zijn gewoon prisma 
B: 	ja dat zijn J 
A: 	ja dit zijn met de superscherpe punt aan de bovenkant 
A: 	en aan de voorkant ja ook een soort van kubus maar niet een gelijk kubus aan de rechterkant en dan aan de linkerkant dat ja 
A: 	ja puntachtig 
A: 	ja maar dan wel met vlak aan de buitenkant en dan linksonder nog een cirkel 
B: 	deze hebben zegmaar een driehoek bovenop soort van hanekam jij zeggen net een hamekam dan weten je denken ik welk ik bedoelen 
B: 	ja 
B: 	E 
A: 	ja dat zijn zes 
B: 	zo met die hanekam dat gek prisma vooraan half rond 
A: 	ja dit zijn die met die heel scherp driehoekpunt boven 
A: 	en die kubus 
A: 	ja niet die niet recht kubus en dat rond linksonder en dat punt link 
B: 	even kijken 
B: 	en dat half rond linksonderin G 
B: 	hanenkam gek prisma aan de voorkant 
A: 	ja 
A: 	dat zijn tien 
A: 	dit zijn met die superscherp punt boven 
A: 	en die niet zo recht kubus aan de rechterkant en 
A: 	ja 
A: 	ja dat zijn tien 
