B: 	ik vinden het een theekopje op een statief en dat hebben dan een driehoekig voetstuk 
B: 	en dan een draaien stang die het theekopje omhooghouden 
B: 	ja twee 
B: 	ja 
A: 	ja 
A: 	ja een beetje lijken alsof zo'n man die zo zijn arm omhoog hebben 
A: 	ja met die draaien onderkant 
A: 	ja dat zijn nummer vier bij mij 
B: 	ja 
B: 	met het statief 
B: 	ja 
B: 	A 
A: 	ja dit zijn met die draaien onderkant 
A: 	met dat uitsteeksel aan de onderkant en die dat blok rechtsboven blok in het midden en zo'n nog zo'n uitsteeksel 
A: 	ja 
B: 	het statief 
B: 	het theekopje op het statief 
B: 	met die vier 
B: 	nee nee met de driehoek aan de onderkant 
B: 	ja 
B: 	ja 
B: 	driehoekstatief 
B: 	ja 
B: 	L 
B: 	het driehoekstatief 
B: 	ja 
B: 	ja F 
A: 	ja ok dat zijn nummer tien 
A: 	dit zijn met die draaien onderkant en zo'n blok rechts blok in het midden en zo'n zwaaien armpje 
A: 	o jajaja ja met dat draaien onderkan ok dat zijn nummer vier 
A: 	dit zijn die met dat draaien onderkantje en die twee blok bovenop 
