A: 	oké bovenop zitten een bolle 
A: 	en er staan één er zijn een nog een heel smal maar wel lang ja 
A: 	paal een paal eigenlijk die ervoor staan en twee cilinder steken eigenlijk aan de 
A: 	ja nou ja inderdaad 
A: 	ja 
B: 	ja en dan zijn de linkerarm lang dan de rechterarm 
B: 	o dat zullen kunnen 
B: 	ja 
B: 	ok dat zijn dan D 
A: 	ja 
A: 	ja 
A: 	vijftien 
A: 	die hebben we al een keer hebben volgens mij toch 
B: 	ok dit zijn een kop met een bal aan de bovenkant en 
B: 	er hangen een verticaal balk aan vast o dat zijn weer met die arm en de een arm zijn niet afmaken 
A: 	dit zijn de omhelzing 
A: 	met het ei bovenop 
A: 	zes 
A: 	de omhelzing 
B: 	ja dat zijn voor mij L 
A: 	ja drie 
B: 	dit zijn met die bal bovenop en de verticaal balk aan de voorkant en die twee arm 
B: 	bal bovenop rechthoek 
B: 	ja dat zijn voor mij J 
B: 	dit zijn de bal bovenop en de verticaal balk er aan en die twee arm 
