B: 	ja het lijken wel of dit ding twee van die oog hebben 
B: 	zeggen maar die die blok die steeds groot worden en dan bovenop nog een soort paddenstoel of ik weten niet wat het precies zijn 
A: 	ja met die plaat 
A: 	ja dus die doen me ook denken aan robot 
A: 	dat zijn twee 
B: 	en die twee oog die een beetje op een ja dat zijn dan en dan hebben je nog die plaat aan de zijkant ja dat zijn dan G 
B: 	dit zijn weer die een met die paddenstoel bovenop en dat plak kaas of zo of weten ik veel wat aan de zijkant 
B: 	ja met die met die blok ja 
A: 	dit zijn weer die robot 
A: 	met die vierkant plaat 
A: 	rechts 
A: 	ja 
A: 	ja dat zijn negen 
B: 	ja 
B: 	ja dat zijn dan D 
A: 	dit zijn weer die robot 
A: 	met die plaat en die antenne 
B: 	ja dit zijn die met die paddenstoel bovenop en dat cheddar plak aan de zijkant en die blok die steeds groot worden 
A: 	ja dat zijn één 
B: 	ja ja dat zijn B 
A: 	dit zijn weer die robot 
