B: 	ah ik vinden het een cocktailglas 
B: 	weten je welk ik bedoelen 
B: 	kunnen ook 
B: 	ja 
A: 	de trofee 
A: 	ja ja hij staan op zo'n driehoekje en dan zo'n DNAspiraal naar boven 
A: 	oké dat zijn nummer vier 
B: 	A 
A: 	die een met dat driehoekig voe en die dNAspiraal 
A: 	oké 
A: 	ja 
A: 	de 
A: 	dat zijn nummer acht 
B: 	het wijnglas 
A: 	die met dat dNA en dat voe dat driehoekig voe 
B: 	waar staan die 
B: 	ja L 
A: 	ja dat zijn nummer vier 
A: 	die met dat dNAdingetje 
A: 	en dit blok 
B: 	het wijnglas 
B: 	ja F 
