A: 	aan de onderkant 
A: 	ja 
A: 	dat zijn dan twee 
B: 	nou deze die zijn wel we hebben het net over één die op een onderzetter staan 
B: 	dat zijn deze 
B: 	deze zijn er niet doorheen zakken 
B: 	ja er zitten een een een soort van schijf aan de voorkant 
B: 	een soort van kraantje link 
B: 	en aan de achterkant zullen dat misschien ook zo zijn maar die zien je dan maar half 
B: 	en een een links en rechts achter het kop ook een aantal ja diaman 
B: 	kraal 
B: 	ja 
A: 	dit zijn weer de plaat aan de onderkant 
A: 	met twee 
A: 	ja 
A: 	dat zijn dertien 
A: 	dit zijn de plaat aan de onderkant 
A: 	ja 
B: 	ja 
B: 	okee dan gaan ik voor e 
A: 	ja negen 
B: 	deze zijn wel op zijn onderzetter blijven staan 
B: 	rond schijf aan de voorkant en diamantfiguurtjes aan de achterkant 
A: 	plateau aan de onderkant 
B: 	ja 
B: 	b 
B: 	deze staat nog wel gewoon op zijn onderzetter 
B: 	en kraalvorm aan de achterkant 
B: 	p 
